Banco de México,
,
,
,
,
Fecha de consulta: 20/11/2024 01:54:07,
,
,
,
Título,"Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 364 días"
Periodo disponible,24/04/1997 - 14/11/2024
Periodicidad,Diaria
Cifra,Sin tipo de Cifra
Unidad,Millones de Pesos
Base,
Aviso,
Tipo de información,
Fecha,SF43946
13/09/2001,N/E
20/09/2001,N/E
27/09/2001,N/E
04/10/2001,"4,600"
11/10/2001,N/E
18/10/2001,N/E
25/10/2001,N/E
01/11/2001,"4,600"
08/11/2001,N/E
15/11/2001,N/E
22/11/2001,N/E
29/11/2001,"4,600"
06/12/2001,N/E
13/12/2001,N/E
20/12/2001,N/E
27/12/2001,"4,600"
03/01/2002,N/E
10/01/2002,N/E
17/01/2002,N/E
24/01/2002,"5,000"
31/01/2002,N/E
07/02/2002,N/E
14/02/2002,N/E
21/02/2002,"5,000"
28/02/2002,N/E
07/03/2002,N/E
14/03/2002,N/E
20/03/2002,"5,000"
27/03/2002,N/E
04/04/2002,N/E
11/04/2002,N/E
18/04/2002,"5,000"
25/04/2002,N/E
02/05/2002,N/E
09/05/2002,N/E
16/05/2002,"5,000"
23/05/2002,N/E
30/05/2002,N/E
06/06/2002,N/E
13/06/2002,"5,000"
20/06/2002,N/E
27/06/2002,N/E
04/07/2002,N/E
11/07/2002,"5,000"
18/07/2002,N/E
25/07/2002,N/E
01/08/2002,N/E
08/08/2002,"5,000"
15/08/2002,N/E
22/08/2002,N/E
29/08/2002,N/E
05/09/2002,"5,000"
12/09/2002,N/E
19/09/2002,N/E
26/09/2002,N/E
03/10/2002,"5,000"
10/10/2002,N/E
17/10/2002,N/E
24/10/2002,N/E
31/10/2002,"5,000"
07/11/2002,N/E
14/11/2002,N/E
21/11/2002,N/E
28/11/2002,"5,000"
05/12/2002,N/E
11/12/2002,N/E
19/12/2002,N/E
26/12/2002,"5,000"
02/01/2003,N/E
09/01/2003,N/E
16/01/2003,N/E
23/01/2003,"5,000"
30/01/2003,N/E
06/02/2003,N/E
13/02/2003,N/E
20/02/2003,"5,000"
27/02/2003,N/E
06/03/2003,N/E
13/03/2003,N/E
20/03/2003,"5,000"
27/03/2003,N/E
03/04/2003,N/E
10/04/2003,N/E
16/04/2003,"5,000"
24/04/2003,N/E
30/04/2003,N/E
08/05/2003,N/E
15/05/2003,"5,000"
22/05/2003,N/E
29/05/2003,N/E
05/06/2003,N/E
12/06/2003,"5,000"
19/06/2003,N/E
26/06/2003,N/E
03/07/2003,N/E
10/07/2003,"5,000"
17/07/2003,N/E
24/07/2003,N/E
31/07/2003,N/E
07/08/2003,"5,000"
14/08/2003,N/E
